연번,레벨,아이디,고을_한자,고을_한자_세부,고을_한글,고을_한글_세부,戶 한문,戶 아라비아 숫자
1,3,wda_400020,京都漢城府,五部,경도한양부,오부,一萬七千一十五。,17015
2,3,wda_400020,京都漢城府,城底十里,경도한양부,성저십리,"一千七百七十九,",1779
3,3,wda_400030,舊都開城留後司,都城,개성유후사,도성,"四千八百十九,",4819
4,3,wda_400030,舊都開城留後司,屬縣 開城,개성유후사,속현개성,"八百四十四,",844
5,3,wda_400040,京畿,,경기,,"二萬八百八十二,",20882
6,3,wda_400050,忠淸道,,충청도,,"二萬四千一百七十,",24170
7,3,wda_400060,慶尙道,,경상도,,"四萬二千二百二十七,",42227
8,3,wda_400070,全羅道,,전라도,,"二萬四千七十三,",24073
9,3,wda_400080,黃海道,,황해도,,"二萬三千五百十一,",23501
10,3,wda_400090,江原道,,강원도,,"一萬一千八十四,",11084
11,3,wda_400100,平安道,,평안도,,"四萬一千一百六十七,",41167
12,3,wda_400110,咸吉道,,함길도,,"一萬四千七百三十九,",14739
13,4,wda_40004001,京畿 / 廣州牧,,경기 / 광주목,,"一千四百三十六,",1436
14,4,wda_40004002,京畿 / 楊州都護府,,경기 / 양주도호부,,"一千四百八十一,",1481
15,4,wda_40004003,京畿 / 水原都護府,,경기 / 수원도호부,,"一千八百四十二,",1842
16,4,wda_40004004,京畿 / 鐵原都護府,,경기 / 철원도호부,,"三百五十一,",351
17,4,wda_40004005,京畿 / 富平都護府,,경기 / 부평도호부,,"四百二十九,",429
18,4,wda_40005001,忠淸道 / 忠州牧,,충청도 / 충주목,,"一千八百七十一,",1871
19,4,wda_40005002,忠淸道 / 淸州牧,,충청도 / 청주목,,"一千五百八十九,",1589
20,4,wda_40005003,忠淸道 / 公州牧,,충청도 / 공주목,,"二千一百六十七,",2167
21,4,wda_40005004,忠淸道 / 洪州牧,,충청도 / 홍주목,,"一千三百七十九,",1379
22,4,wda_40006001,慶尙道 / 慶州府,本府,경상도 / 경주부,본부,"一千五百五十二,",1552
23,4,wda_40006001,慶尙道 / 慶州府,安康,경상도 / 경주부,안강,"二百七十單一,",271
24,4,wda_40006001,慶尙道 / 慶州府,杞溪,경상도 / 경주부,기계,"一百七十七,",177
25,4,wda_40006001,慶尙道 / 慶州府,神光,경상도 / 경주부,신광,"九十五,",95
26,4,wda_40006001,慶尙道 / 慶州府,慈仁,경상도 / 경주부,자인,"二百三十七,",237
27,4,wda_40006002,慶尙道 / 安東大都護府,本府,경상도 / 안동대도호부,본부,"八百四十七,",847
28,4,wda_40006002,慶尙道 / 安東大都護府,臨河,경상도 / 안동대도호부,임하,"三百二十三,",323
