연번,레벨,아이디,고을_한자,고을_한자_세부,고을_한글,고을_한글_세부,口 한문,口 아라비아 숫자,口 아라비아,
1,3,wda_400020,京都漢城府,五部,경도한양부,오부,,,0,0
2,3,wda_400020,京都漢城府,城底十里,경도한양부,성저십리,,,0,0
3,3,wda_400030,舊都開城留後司,都城,개성유후사,도성,"八千三百七十二,",8372,8372,0
4,3,wda_400030,舊都開城留後司,屬縣 開城,개성유후사,속현개성,"二千二十一,",2021,2021,0
5,3,wda_400040,京畿,,경기,,五萬三百五十二。,50352,50352,0
6,3,wda_400050,忠淸道,,충청도,,一十萬七百九十。,100790,100790,0
7,3,wda_400060,慶尙道,,경상도,,十七萬三千七百五十九。,173759,173759,0
8,3,wda_400070,全羅道,,전라도,,"九萬四千二百四十八,",94248,94248,0
9,3,wda_400080,黃海道,,황해도,,七萬一千八百九十七。,71897,71897,0
10,3,wda_400090,江原道,,강원도,,二萬九千單九。,29009,29009,0
11,3,wda_400100,平安道,,평안도,,十萬五千四百四十四。,5444,105444,-100000
12,3,wda_400110,咸吉道,,함길도,,六萬六千九百七十八。,66978,66978,0
13,4,wda_40004001,京畿 / 廣州牧,,경기 / 광주목,,三千一百單十。,3100,3110,-10
14,4,wda_40004002,京畿 / 楊州都護府,,경기 / 양주도호부,,二千七百二十六。,2726,2726,0
15,4,wda_40004003,京畿 / 水原都護府,,경기 / 수원도호부,,四千九百二十六。,4926,4926,0
16,4,wda_40004004,京畿 / 鐵原都護府,,경기 / 철원도호부,,七百七十。,770,770,0
17,4,wda_40004005,京畿 / 富平都護府,,경기 / 부평도호부,,九百五十四。,954,954,0
18,4,wda_40005001,忠淸道 / 忠州牧,,충청도 / 충주목,,七千四百五十二。,7452,7452,0
19,4,wda_40005002,忠淸道 / 淸州牧,,충청도 / 청주목,,六千七百三十八。,6738,6738,0
20,4,wda_40005003,忠淸道 / 公州牧,,충청도 / 공주목,,一萬四十九。,10049,10049,0
21,4,wda_40005004,忠淸道 / 洪州牧,,충청도 / 홍주목,,六千三十一。,6031,6031,0
